Job Title,Company,Location,Category
Various Positions,AMDA Nepal,"Kathmandu, Sunsari, Jhapa, Itahari","Public Health, Social Science, Development and Project"
Various Positions,DALAAN NEPAL,Dhanusha,"Accounting and Finance, Development and Project, Finance & Administration, Development / NGO"
Tender Notice for Bulk Purchase of Medicines and Medical Supplies,Project Propel Lalitpur Nepal,Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Communication Technical Officer based in Surkhet (Women Candidate only - Re-vacancy),People in  Need,Surkhet,Communication
Business and Market Systems Trainee,Winrock International (Feed the Future Nepal USAID Agricultural Inputs),Dhangadhi,"Engineering - Agriculture, Development / INGO, Business Management"
Project Coordinator,Dalit Help Society,Bajhang,"Development and Project, NGO/INGO/Social work"
Program Finance Officer,JuRI-Nepal,Lalitpur,"Development and Project, Finance & Administration"
Associate Program Officer,Heifer Project Nepal,Lalitpur,Development / INGO
Programme Operations Associate,Street Child of Nepal,Lalitpur,"Education, Social Science, Development and Project"
Terms of Reference for Management and Leadership/Executive Coaching,Heifer International Nepal,Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / INGO"
MEAL Officer,CSSD Kailali,"Tikapur,Kailali","Development and Project, Development / NGO"
Multiple Positions,Nepal Integrated Development Society(NIDS),Sarlahi,"Public Health, Social Science, Development and Project, Finance & Administration, Development studies, Management"
DISTRICT COORDINATOR,Mercy Corps,"Agriculture, Development and Project",Kathmandu
CALL FOR CONSULTANT ROSTER,Nepal Water for Health (NEWAH),"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Gorkha
Program Officer for Literacy Program /Social Mobilier,UN Nepal Gorkha,"Development and Project, Development / NGO",Sindhuli
Notice for Closure,Relief Nepal,"Development and Project, Expression of Interests, Tender Notice, Bid",Sindhuli
Admin and Finance Officer,Relief Nepal,"Accounting and Finance, Finance & Administration, Development / NGO",Kapilvastu
सिलबन्दी बोलपत्र आह्वानको सुचना,Lumbini Integrated Development Organization,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Kathmandu
Regional Business Development Specialist for South Asia Programme,Handicap International,"Development and Project, Development studies, Management","Terai Region, Janakpur"
Call for Consultancy Service from Individuals/Firms,AANGAN,"Development and Project, Expression of Interests, Tender Notice, Bid",Banke
Staff Nurse,International Nepal Fellowship,"Development and Project, Nursing",Kathmandu
LITERACY MANAGER,Room to Read Nepal,"Education, Development and Project",Kapilvastu
Trainee (Nutrition),Heifer Project Nepal,"Development and Project, Development / INGO",Kathmandu
MEAL Specialist (Female Only),NGO Federation of Nepal,Development and Project,Kathmandu
Senior Officer – GESI (Gender Equity and Social Inclusion),ANSAB Nepal,"Agriculture, Social Science, Development and Project, Development studies, Management, Forestry",Kathmandu
Invitation for Sealed Quotation for supply of Portable Ultrasound Machine Set,Green Tara Nepal (GTN),"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO","Terai Region, Kapilvastu, Banke"
Various Positions,Siddhartha Social Development Center,"Development and Project, NGO/INGO/Social work",Lalitpur
National Consultant – Innovative Finance Expert,UNDP,"Administrative / Management, Development and Project","Kathmandu, Sarlahi"
Various Positions,Prerana,Development and Project,Surkhet
Finance and Admin Officer,The Organic Valley Pvt Ltd,"Accounting and Finance, Finance & Administration, Development / NGO",Kathmandu
Project Officer,Peace Brigades International Nepal,"Development and Project, NGO/INGO/Social work",Chitwan
Gender and Disability Inclusion Advisor,Nepal Disabled Women Association,"Development and Project, NGO/INGO/Social work",Lalitpur
Technical Support Representative,Bhagya Laxmi International Pvt. Ltd.,"Computer - Hardware / Network, Diploma in Computer Engineering",Rautahat
GEDSI and Protection Coordinator,World Vision International Nepal,"Development and Project, Development / INGO",Kathmandu
Request for Proposal for Domestic Air Ticketing Service,USAID Biodiversity (Jal Jangal),"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Chitwan
Technical Officer - Inclusive Education,Handicap International,"Development / NGO, Development / INGO",Kathmandu
"Invitation of Sealed Quotation for supply, delivery of Medical Equipment and Supplies",Green Tara Nepal (GTN),"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Bardiya
Admin Finance Officer (AFO),Sonaha Bikash Samaj,"Accounting and Finance, Finance & Administration, Development / NGO",Kathmandu
Expression of Interest (EOI ) for Vendor Listing,U.S. Pharmacopeial Convention,"Expression of Interests, Tender Notice, Bid",Kathmandu
Request for Quotation – Ref No. UNDP-NPL-00337: For Supply and Delivery of Refrigeration & Air Conditioning (RAC) Equipment,UNDP,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Database administrator
Data Maintenance and Support Associate,IUCN Nepal,"Information Technology, Social Science, Development and Project",Kathmandu
Integrated Knowledge Management Specialist,World Vision International Nepal,"Accounting and Finance, Hospitality / Hotel, Auditing",Kathmandu
Manager Internal Audit and Cost Control,Soaltee Hotel Limited,Engineering - Architecture,Kathmandu
Draft person,Soaltee Hotel Limited,Engineering - Architecture,Kathmandu
Architect,Soaltee Hotel Limited,"Administrative / Management, law","Kailali, Sudurpashchim Province"
Manager Legal,Soaltee Hotel Limited,"Social Science, Development and Project, Development studies, Management",Lalitpur
Various Positions,National Environment and Equity Development Society (NEEDS Nepal),"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Kathmandu
Request for Proposal (RFP): External Evaluators/Consulting firms for the Impact Assessment of the SIKAI project,VSO Nepal,"Development and Project, Expression of Interests, Tender Notice, Bid","Bajhang, Bajura"
TENDER NOTICE,Save the Children,"Development and Project, NGO/INGO/Social work",Kathmandu
Project Coordinator / Technical Associate / Education Mobilizer,Seto Gurans Child Development Service,"Administrative / Management, Marketing",Kathmandu
Various Position,International Manpower Recruitment Pvt Ltd,"Development and Project, Development / NGO",Kathmandu
Training Announcement: Call for Participation,Green Foundation Nepal,Research,Jajarkot
Research Coordinator- Climate Justice Programme,Digo Bikas Institute,"Engineering - Civil, Development and Project, Finance & Administration",Jajarkot
कर्मचारी आवश्यकता सम्बन्धी सूचना,"Hilly Region Development Campaign (HRDC), Jajarkot","Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Kanchanpur
शिलबन्दी बोलपत्र आह्वानको सुचना,"Hilly Region Development Campaign (HRDC), Jajarkot","Development and Project, Expression of Interests, Tender Notice, Bid",Parsa
Call for Expression of Interest (EOI),NNSWA,"Development and Project, Expression of Interests, Tender Notice, Bid",Nuwakot
Request for Sealed Quotation,Divya Development Resource Centre Parsa,"Agriculture + Livestock, Accounting and Finance, Development and Project, Development / NGO","Kathmandu, Janakpur, Lahan, Narayanghat"
कर्मचारी आवश्यकता सम्बन्धि सूचना,"Community & Rural Development Society Nepal, CARDSN","Business Development, Development / Administrative, Marketing Representatives",Lalitpur
Market Representatives / Business Development Executive,HIMAL HERBACEUTICALS PVT LTD,"Mobile App Development, Software Development",Terai Region
Flutter Mobile Application Developer (Mid-Level),Aria Technologies,"Development and Project, Development / Administrative, NGO/INGO/Social work",Dhanusha
Various Positions,Kamaiya Mahila Jagaran Samaj Nepal,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO","Dailekh, Jajarkot"
Consultancy Service for Policy Formulation,Aasaman Nepal,"Development and Project, Development / NGO, Engineering",Kathmandu
Program  Coordinator – Engineer,SOSEC Nepal,"Development and Project, Expression of Interests, Tender Notice, Bid","Mugu, Bajura, Humla"
Request for Quotation,IOM Nepal,"Development and Project, Nursing",Nepalgunj
Auxiliary Nurse Midwife (ANM),PHASE Nepal,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Kathmandu
बोलपत्र आह्वान,Bheri Environmental Excellence Group (BEE-Group) Banke,"Development and Project, Development / NGO, Forestry",Kathmandu
Thematic Head – Food Security and Economic Development,Shechen Karuna Nepal,"Education, Development and Project","Kathmandu, Janakpur, Butwal, Dhangadhi, Dhanusha, Bara, Bardiya"
Request for Applications: Consultant – Capacity building in Municipality School Education Governance,British Council,"Public Health, Social Science, Development and Project","Bajhang, Sudurpashchim Province"
Various Positions,NFCC,"Development and Project, Development / NGO",Lalitpur
Terms of Reference (TOR) for Consultant: Development of Ending Child Marriage Strategy,NFCC,"Development and Project, Expression of Interests, Tender Notice, Bid",Kathmandu
INVITATION FOR PARTICIPATION IN TRAINING,MinErgy Private Limited,"Development and Project, Expression of Interests, Tender Notice, Bid",Kathmandu
