Bankn Name,Savings Rate,Fixed Rate
Nepal Bank Ltd.,5.01%,5.25%
Rastriya Banijya Bank,3.25%,6.07%
Nabil Bank,5.00%,7.00%
Nepal Investment Mega Bank,4.00%,6.50%
Standard Chartered Bank,4.05%,7.00%
Himalayan Bank,5.25%,7.00%
Nepal SBI Bank,3.40%,6.25%
Everest Bank,4.05%,6.10%
NIC ASIA Bank,5.41%,7.41%
Machhapuchhre Bank,5.00%,7.00%
Kumari Bank,5.06%,6.71%
Laxmi Sunrise,5.00%,6.50%
Siddhartha Bank,4.50%,6.50%
Agriculture Dev. Bank,4.76%,6.065%
Global IME Bank,3.50%,6.25%
Citizens Bank Int'l,5.05%,6.50%
Prime Commercial Bank,5.00%,6.75%
NMB Bank,4.52%,7.41%
Prabhu Bank,6.00%,6.10%
Sanima Bank,5.05%,6.20%
Narayani Bikas Bank,5.25%,7.75%
Karnali Bikas Bank,4.50%,7.50%
Excel Bikas Bank,4.40%,6.75%
Miteri Bikas Bank,5.00%,7.00%
Muktinath Bikas Bank,5.05%,6.75%
Corporate Bikas Bank,7.50%,8.20%
Sindhu Bikas Bank,5.00%,7.11%
Green Dev. Bank,5.50%,7.25%
Shangrila Bikas Bank,3.50%,7.00%
Shine Resunga BB,5.00%,6.75%
Jyoti Bikas Bank,5.00%,6.75%
Garima Bikas Bank,5.00%,7.00%
Mahalaxmi Bikas Bank,5.05%,7.00%
Lumbini Bikas Bank,5.05%,6.75%
Kamana Sewa B.Bank,6.15%,7.00%
Gurkhas Finance Ltd,5.50%,7.50%
Goodwill Finance Co.,--,7.25%
Shree Invest &amp;Finance,6.25%,7.75%
Nepal Finance Co.,--,8.25%
Best Finance Co.,6.00%,7.95%
Progressive Fin. Co.,6.85%,8.00%
Janaki Finance Co.,0.00%,8.25%
Pokhara Finance,4.75%,7.50%
Central Finance Ltd,0.00%,8.00%
Multipurpose Finance,6.50%,8.50%
Samriddhi Finance Co.,5.10%,8.00%
Guheshwori Finance,6.25%,7.50%
ICFC Finance Ltd,5.00%,7.25%
Manjushree Finance,5.60%,8.00%
Reliance Finance Ltd.,6.00%,8.50%
